Car Variant
ZDI
TOUR S PETROL
W11
8 STR
HIGHLINE 1.6 MPI
5 STR
STD
XE 4X2 7 STR
SX 1.5 PETROL
ADVENTURE 3.3
SPORTZ 1.4 CRDI
LXI
VXI (ABS) AT
HIGHLINE1.2L
LX CR4
VXI
FLUIDIC 1.6 CRDI S 4S
VXI CNG
SX 1.5 CRDI
FLUIDIC 1.4 VTVT
SX 1.6 DIESEL
1.5L I-VTEC VX CVT
1.5L I- DTEC V
ZXI CNG
TITANIUM 1.2 PETROL
sDrive20d
4 WD AT
ZDI PLUS
VDI
RXT 0.8
ASTA 1.2
MAGNA (O) 1.2
SHARP PRO 2.0 TURBO DIESEL 6 STR
MAGNA 1.1
HIGHLINE DIESEL 1.6
MAGNA 1.4 CRDI
W8
1.5L I-DTEC S
T (O)
110 PS RXZ DIESEL
SIGMA SMART HYBRID
TREND 1.2 PETROL
XL (D)
D4
D-LITE
SPORTZ 1.1 CRDI
1.6 VTVT SX
EXI 1.2 PETROL
ZXI
TRENDLINE 1.2L
VGT CRDI SX 1.5
DELTA PETROL 1.2
PURE MT
RXZ
S MT
ZXI PLUS
1.5L I-DTEC VX
GXI
GD
T
110 PS RXZ
XZA PLUS 2.0L DUAL TONE
1.5L I-VTEC ZX CVT
SX PLUS 1.6 PETROL
XT PLUS 2.0L KRYOTEC DARK EDITON
ELEGANCE 2.0 TDI CR AT
W10 AT
XZ PLUS 2.0L KAZIRANGA
ZETA MT
RXL MT
SIGMA 1.2
3.0 4X4 MT
XZ PETROL
W6
XZ PLUS PETROL SUNROOF
1.5L I-DTEC SV
LIMITED 2.0 DIESEL
HTK PLUS 1.5 DIESEL
HTK PLUS 1.2 PETROL MT
XT PLUS 2.0L KRYOTEC
SHARP 1.5 PETROL CVT
2.0 TDI
3.0 4X2 MT
SX (O) 1.5 TURBO PETROL MT
2.2 EX 4X2
3.0 TDI QUATTRO
TD4 SE
SX PLUS 1.0 TURBO DCT
XZ 2.0L
L&K
CREATIVE 1.2 PETROL
ERA
AURA QUADRAJET
ZETA CVT PETROL 1.2
W10
RXL 85PS EXPLORE
PRESTIGE 1.5 MT 7STR
ZETA 1.3
E 250 CDI Avantgarde
LT PETROL
FLUIDIC 1.6 VTVT EX
HIGHLINE1.5L
Accomplished Plus iCNG
ASTA 1.2 AT SUNROOF
VXI AMT
SPORTZ CNG
TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) DIESEL
5 STR WITH A/C+HTR CNG
ADVENTURE MT
K6 D 5 STR
AURA SAFIRE
LDI
XE 75PS DIESEL
ERA +
1.4 SX
ERA 1.1
G SP
SIGMA PETROL 1.2
ASTA 1.2 DUAL TONE
1.2L I-VTEC S
VX
ZDI+ SHVS
1.6 VTVT SX AT
SPORTZ
ACTIVE 1.2
XT QUADRAJET
VDI ABS
MAGNA 1.2
LXI 1.4 DIESEL
1.6 SX (O) CRDI MT
1.2L I-VTEC X
RXL
LXI CNG 1.0
SPORTZ MT
DELTA DIESEL 1.3
LXI CNG (O) 1.0
XM PETROL
XTREME
AX 5 P AT 5 STR
ZDI+ SHVS RS
1.5L I-VTEC SV
ALPHA 1.5 SHVS PETROL
VXI (O)
HTK PLUS 1.2
E PLUS 1.4 DIESEL
STYLE 1.5L TSI DSG
XZA PLUS PETROL
S PLUS 1.5 CRDI
K2 6 STR
110 PS RXL ADVENTURE
3.0 4X2 AT
EX 1.5 DIESEL
SX 1.5 DIESEL
1.6 SX AT DIESEL
SPORTZ 1.2 KAPPA VTVT CNG
RXZ MT DUAL TONE
VXI 1.0
M4 8 STR
V 2.5 8 STR
TREND 1.5L DIESEL
ZXI+ SHVS
SHARP PRO 1.5 PETROL TURBO CVT 6 STR
GLS 2WD AT DIESEL
SHARP 2.0 DIESEL DUAL TONE
RXL DIESEL
